Timestamp,Location name,Address,latitude  (Please refer https://www.latlong.net/convert-address-to-lat-long.html),Type,,longitude (Please refer https://www.latlong.net/convert-address-to-lat-long.html)
3/18/2018 9:29:10,The Forum Sujana Mall,"Plot No S-16  Survey No 1009
K P H B Phase 6  Kukatpally
Hyderabad  Telangana 500072
India",17.484276,Food: Entertainment,,78.389077
3/18/2018 9:30:09,Starbucks Coffee  ,"Plot No. S-16  Survey No. 1009  Upper Ground Floor  Forum Sujana Mall  Opposite Phase 9 Malaysian Township  KPHB  Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.484164,Food,,78.389302
3/18/2018 9:30:58, 9D Cinema,"Hyderabad
K P H B Phase 9  Kukatpally
Hyderabad  Telangana 500085
India",17.484046,Entertainment,,78.389125
3/18/2018 9:31:39,Burger King,"Forum Sujana Mall  3rd Floor  Plot No S-16  Survey No 1009  K P H B Phase 6  Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500085
India",17.4838,Food,,78.388776
3/18/2018 9:32:47,Rayalaseema Ruchulu,"3rd Floor  Food Court  Forum Sujana Mall  Phase  KPHB  K P H B Phase 6  Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.484355,Food,,78.389243
3/18/2018 9:33:19,Zomoz,"Forum Sujana Mall
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500085
India",17.484299,Food,,78.389356
3/18/2018 9:34:56, Chaitanya Food Court,"MIG 25-26  5th Phase  Hitech City Road  Near Malaysian Township Circle  KPHB Colony  Kukatpally
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500085
India",17.485069,Food,,78.390648
3/18/2018 9:36:47, Madhura Mexican Fried Chicken,"Yerram Estate  KPHB 6th Phase Road  Next to SBI  Opp Forum Mall
K P H B Phase 6  Kukatpally
Hyderabad  Telangana 500085
India",17.48555,Food,,78.388068
3/18/2018 9:37:27,Cane Express,"Shop No. 4 5 SVS Elegant  KPHB 6th phase Ring View Hotel Rd. Opp. ICICI Bank Kukatpally Hyderabad - 500072
KPHB 6th phase  KPHB 6th Phase Rd  Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.485647,Food,,78.388878
3/18/2018 9:38:24,Hyderabad Chefs,"MIG 21/1  KPHB Phase III  JNTU Road  Kukatpally
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.485371,Food,,78.390654
3/18/2018 9:39:46,K S Bakers,"Shop No.1 2 3  Prashanka Enclave  Near Malaysian Township Circle  JNTU Road  KPHB Phase VI
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.487059,Food,,78.390836
3/18/2018 9:41:00,RV Spice,"Plot No. MIG-13/1  Opposite Kalanjali Showroom  JNTU Road  KPHB Colony
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.486052,Food,,78.390965
3/18/2018 9:42:02,Makers of Milkshakes  JNTU Road,"Opp K.S Bakers  Near MIG busstop  JNTU ROAD  KPHB 3rd Phase kukatpally
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.48707,Food,,78.391335
3/18/2018 9:43:10, Bhimavaram Bajji Mixture,"1  9th Phase Rd
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.483324,Food,,78.392687
3/18/2018 9:44:45,Kritunga Restaurant,"MIG 61/2  Beside Ramya Grounds  JNTU Road  KPHB Phase 3  Kukatpally
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.486747,Food,,78.392665
3/18/2018 9:45:55,Baskin Robbins,"HIG66P  opposite chervi super market(old Congress office)   K P H B Phase 6  Kukatpally
K P H B Phase 6  Kukatpally
Hyderabad  Telangana 500085
India",17.488722,Food,,78.386861
3/18/2018 9:46:37,Hotel Sri Nandini,"JNTU Road  Beside Max Super Market KPHB Colony 6th Phase 
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.488758,Food,,78.391635
3/18/2018 9:47:31,Sree Dwaraka Grand Restaurant and Takeaway,"LIG - 19/3  3rd Phase  Ramya Ground Road  Near MIG Bousstop K.P.H.B
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.48729,Food,,78.391684
3/18/2018 9:48:17,F & F Bristo Longue,"HIG-H-51
KPHB 5th Phase  Kukatpally
Hyderabad  Telangana 500072
India",17.481344,Food,,78.393717
3/18/2018 9:49:06,99 Varieties Dosa,"Indu Fortune Road  Near Malaysian Township  KPHB Colony Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.4759,Food,,78.389039
3/18/2018 9:50:24,Balaji Curry Point,"2/4/1027
9th Phase  K P H B Phase 9  Kukatpally
Hyderabad  Telangana 500085
India",17.485432,Food,,78.38133
3/18/2018 9:52:12,Chutneys Hub,"Ground floor jai hanuman complex   Vasanth nagar x roads gokul Plots 9 th phase kphb kukatpally
K P H B Phase 6  Kukatpally
Hyderabad  Telangana 500085
India",17.488333,Food,,78.382156
